County,Region,Year,Race,Age 65 Plus,Total
Durham,Central North Carolina,2025.0,American Indian / Alaska Native,357.0,5899.0
Wayne,Eastern North Carolina,2025.0,Other,253.0,5472.0
Duplin,Eastern North Carolina,2025.0,Other,0.0,1578.0
Wilson,Eastern North Carolina,2025.0,American Indian / Alaska Native,343.0,1604.0
Macon,Western North Carolina,2025.0,Asian & Pacific Islander,88.0,357.0
,,,,,
Projection,2024,,,,
Randolph,Central North Carolina,2025.0,American Indian / Alaska Native,316.0,2111.0
Cumberland,Eastern North Carolina,2025.0,Black,18302.0,133978.0
,,,,,
"[-78.""",Projection,,,,
Rutherford,Western North Carolina,2025.0,White,13356.0,55534.0
,,,,,
Projection,2024,,,,
Greene,Eastern North Carolina,2025.0,Other,18.0,691.0
,,,,,
"3""",Projection,,,,
Moore,Central North Carolina,2025.0,Other,1299.0,5565.0
,,,,,
Projection,2024,,,,
Dare,Eastern North Carolina,2025.0,American Indian / Alaska Native,76.0,315.0
Chowan,Eastern North Carolina,2025.0,Black,1031.0,4278.0
Davidson,Central North Carolina,2025.0,Asian & Pacific Islander,482.0,3109.0
Transylvania,Western North Carolina,2025.0,Black,94.0,1036.0
,,,,,
"35.153""",Projection,,,,
Currituck,Eastern North Carolina,2025.0,Asian & Pacific Islander,66.0,406.0
Forsyth,Central North Carolina,2025.0,White,54969.0,261915.0
Robeson,Eastern North Carolina,2025.0,Asian & Pacific Islander,100.0,1342.0
,,,,,
Projection,2024,,,,
Franklin,Central North Carolina,2025.0,American Indian / Alaska Native,169.0,1003.0
,,,,,
"36.136""",Projection,,,,
McDowell,Western North Carolina,2025.0,Black,383.0,1913.0
,,,,,
"35.692""",Projection,,,,
Henderson,Western North Carolina,2025.0,American Indian / Alaska Native,395.0,1392.0
,,,,,
"[""",Projection,,,,
Onslow,Eastern North Carolina,2025.0,American Indian / Alaska Native,242.0,2733.0
,,,,,
Projection,2024,,,,
Cabarrus,Central North Carolina,2025.0,Asian & Pacific Islander,1429.0,18462.0
Iredell,Western North Carolina,2025.0,White,32231.0,168310.0
Beaufort,Eastern North Carolina,2025.0,American Indian / Alaska Native,0.0,265.0
,,,,,
",Projection,2024,35.48698341984559"," -76.84531429244643""",,,,
Guilford,Central North Carolina,2025.0,White,65168.0,302146.0
Rockingham,Central North Carolina,2025.0,Asian & Pacific Islander,133.0,641.0
Randolph,Central North Carolina,2025.0,Asian & Pacific Islander,502.0,2928.0
Lenoir,Eastern North Carolina,2025.0,Asian & Pacific Islander,73.0,450.0
McDowell,Western North Carolina,2025.0,Asian & Pacific Islander,47.0,433.0
,,,,,
"35.692""",Projection,,,,
Watauga,Western North Carolina,2025.0,Other,236.0,2544.0
Rowan,Central North Carolina,2025.0,White,23768.0,117605.0
New Hanover,Eastern North Carolina,2025.0,Black,4616.0,29072.0
Rowan,Central North Carolina,2025.0,Other,1272.0,7545.0
Graham,Western North Carolina,2025.0,Other,41.0,433.0
,,,,,
"[""",Projection,,,,
Lincoln,Western North Carolina,2025.0,White,18417.0,87676.0
Jackson,Western North Carolina,2025.0,Black,218.0,1207.0
,,,,,
"35.172""",Projection,,,,
Gaston,Western North Carolina,2025.0,Asian & Pacific Islander,692.0,4720.0
Guilford,Central North Carolina,2025.0,Asian & Pacific Islander,3660.0,34781.0
Harnett,Eastern North Carolina,2025.0,Other,631.0,8664.0
,,,,,
"[-79.""",Projection,,,,
Onslow,Eastern North Carolina,2025.0,White,17390.0,163524.0
,,,,,
Projection,2024,,,,
Onslow,Eastern North Carolina,2025.0,Other,441.0,15507.0
,,,,,
Projection,2024,,,,
Orange,Central North Carolina,2025.0,American Indian / Alaska Native,160.0,1709.0
Perquimans,Eastern North Carolina,2025.0,White,3221.0,10050.0
Montgomery,Central North Carolina,2025.0,White,5139.0,20198.0
Robeson,Eastern North Carolina,2025.0,White,8164.0,37680.0
,,,,,
Projection,2024,,,,
Rockingham,Central North Carolina,2025.0,White,16726.0,70053.0
Cherokee,Western North Carolina,2025.0,American Indian / Alaska Native,188.0,487.0
,,,,,
Projection,2024,,,,
Clay,Western North Carolina,2025.0,Other,161.0,682.0
,,,,,
"[-83.5""",Projection,,,,
Mecklenburg,Central North Carolina,2025.0,American Indian / Alaska Native,1153.0,17026.0
Cabarrus,Central North Carolina,2025.0,White,28534.0,166102.0
Caldwell,Western North Carolina,2025.0,American Indian / Alaska Native,111.0,622.0
Camden,Eastern North Carolina,2025.0,Black,298.0,995.0
,,,,,
"3""",Projection,,,,
Dare,Eastern North Carolina,2025.0,White,10508.0,35538.0
Sampson,Eastern North Carolina,2025.0,White,7728.0,41636.0
,,,,,
"[-""",Projection,,,,
Gaston,Western North Carolina,2025.0,Black,6207.0,48674.0
Stanly,Central North Carolina,2025.0,Asian & Pacific Islander,18.0,1222.0
Caswell,Central North Carolina,2025.0,Other,102.0,1081.0
Bladen,Eastern North Carolina,2025.0,Black,1918.0,9418.0
,,,,,
Projection,2024,,,,
Davie,Central North Carolina,2025.0,American Indian / Alaska Native,75.0,426.0
Anson,Central North Carolina,2025.0,White,2802.0,10618.0
Guilford,Central North Carolina,2025.0,Black,23606.0,193425.0
Hertford,Eastern North Carolina,2025.0,Other,234.0,974.0
Brunswick,Eastern North Carolina,2025.0,White,64842.0,151581.0
,,,,,
"34.120""",Projection,,,,
Chowan,Eastern North Carolina,2025.0,Other,79.0,605.0
Stanly,Central North Carolina,2025.0,Black,1174.0,7569.0
Granville,Central North Carolina,2025.0,Black,3418.0,19110.0
Greene,Eastern North Carolina,2025.0,White,2409.0,11909.0
,,,,,
"3""",Projection,,,,
Henderson,Western North Carolina,2025.0,Asian & Pacific Islander,796.0,2859.0
,,,,,
"[""",Projection,,,,
Lenoir,Eastern North Carolina,2025.0,Other,88.0,1937.0
Craven,Eastern North Carolina,2025.0,Other,675.0,5390.0
,,,,,
"3""",Projection,,,,
Gates,Eastern North Carolina,2025.0,Black,774.0,2773.0
Catawba,Western North Carolina,2025.0,American Indian / Alaska Native,488.0,2450.0
Cleveland,Western North Carolina,2025.0,Other,224.0,4967.0
Richmond,Central North Carolina,2025.0,Other,141.0,2333.0
,,,,,
Projection,2024,,,,
Camden,Eastern North Carolina,2025.0,White,1659.0,8837.0
,,,,,
"3""",Projection,,,,
Lee,Central North Carolina,2025.0,White,10401.0,52168.0
Haywood,Western North Carolina,2025.0,Asian & Pacific Islander,112.0,432.0
,,,,,
Projection,2024,,,,
Watauga,Western North Carolina,2025.0,White,9640.0,47981.0
Vance,Central North Carolina,2025.0,American Indian / Alaska Native,21.0,300.0
Northampton,Eastern North Carolina,2025.0,White,2754.0,6926.0
,,,,,
Projection,2024,,,,
Madison,Western North Carolina,2025.0,Other,272.0,1216.0
,,,,,
"[""",Projection,,,,
Stanly,Central North Carolina,2025.0,American Indian / Alaska Native,119.0,478.0
Madison,Western North Carolina,2025.0,White,5124.0,20459.0
,,,,,
"[""",Projection,,,,
Rutherford,Western North Carolina,2025.0,Other,641.0,3031.0
,,,,,
Projection,2024,,,,
Burke,Western North Carolina,2025.0,Other,426.0,3994.0
,,,,,
"35.""",Projection,,,,
Wilson,Eastern North Carolina,2025.0,Other,269.0,3040.0
Guilford,Central North Carolina,2025.0,Other,1151.0,24194.0
New Hanover,Eastern North Carolina,2025.0,Asian & Pacific Islander,827.0,4607.0
Person,Central North Carolina,2025.0,American Indian / Alaska Native,102.0,422.0
Pitt,Eastern North Carolina,2025.0,White,17803.0,97713.0
,,,,,
"35.50""",Projection,,,,
Caswell,Central North Carolina,2025.0,White,3693.0,14929.0
Catawba,Western North Carolina,2025.0,White,28299.0,135628.0
Hertford,Eastern North Carolina,2025.0,Black,1801.0,10081.0
Hertford,Eastern North Carolina,2025.0,White,1965.0,7280.0
Iredell,Western North Carolina,2025.0,American Indian / Alaska Native,219.0,1478.0
Stokes,Central North Carolina,2025.0,Other,522.0,2337.0
Brunswick,Eastern North Carolina,2025.0,American Indian / Alaska Native,502.0,1482.0
,,,,,
"34.120""",Projection,,,,
Wayne,Eastern North Carolina,2025.0,American Indian / Alaska Native,232.0,1584.0
Martin,Eastern North Carolina,2025.0,Black,2287.0,8190.0
,,,,,
"35.""",Projection,,,,
Yadkin,Western North Carolina,2025.0,American Indian / Alaska Native,86.0,505.0
Yadkin,Western North Carolina,2025.0,Black,263.0,1437.0
Yancey,Western North Carolina,2025.0,Other,96.0,1119.0
,,,,,
"35.""",Projection,,,,
Martin,Eastern North Carolina,2025.0,White,3221.0,11705.0
,,,,,
"35.""",Projection,,,,
