County,Region,Year,Race,Age 65 Plus,Total
Montgomery,Central North Carolina,2025,White,5139,20198
Robeson,Eastern North Carolina,2025,White,8164,37680
Rockingham,Central North Carolina,2025,White,16726,70053
Cherokee,Western North Carolina,2025,American Indian / Alaska Native,188,487
Clay,Western North Carolina,2025,Other,161,682
Mecklenburg,Central North Carolina,2025,American Indian / Alaska Native,1153,17026
Cabarrus,Central North Carolina,2025,White,28534,166102
Caldwell,Western North Carolina,2025,American Indian / Alaska Native,111,622
Camden,Eastern North Carolina,2025,Black,298,995
Dare,Eastern North Carolina,2025,White,10508,35538
Sampson,Eastern North Carolina,2025,White,7728,41636
Gaston,Western North Carolina,2025,Black,6207,48674
Stanly,Central North Carolina,2025,Asian & Pacific Islander,18,1222
Caswell,Central North Carolina,2025,Other,102,1081
Bladen,Eastern North Carolina,2025,Black,1918,9418
Davie,Central North Carolina,2025,American Indian / Alaska Native,75,426
Anson,Central North Carolina,2025,White,2802,10618
Guilford,Central North Carolina,2025,Black,23606,193425
Hertford,Eastern North Carolina,2025,Other,234,974
Brunswick,Eastern North Carolina,2025,White,64842,151581
Chowan,Eastern North Carolina,2025,Other,79,605
Stanly,Central North Carolina,2025,Black,1174,7569
Granville,Central North Carolina,2025,Black,3418,19110
Greene,Eastern North Carolina,2025,White,2409,11909
Henderson,Western North Carolina,2025,Asian & Pacific Islander,796,2859
Lenoir,Eastern North Carolina,2025,Other,88,1937
Craven,Eastern North Carolina,2025,Other,675,5390
Gates,Eastern North Carolina,2025,Black,774,2773
Catawba,Western North Carolina,2025,American Indian / Alaska Native,488,2450
Cleveland,Western North Carolina,2025,Other,224,4967
Richmond,Central North Carolina,2025,Other,141,2333
Camden,Eastern North Carolina,2025,White,1659,8837
Lee,Central North Carolina,2025,White,10401,52168
Haywood,Western North Carolina,2025,Asian & Pacific Islander,112,432
Watauga,Western North Carolina,2025,White,9640,47981
Vance,Central North Carolina,2025,American Indian / Alaska Native,21,300
Northampton,Eastern North Carolina,2025,White,2754,6926
Madison,Western North Carolina,2025,Other,272,1216
Stanly,Central North Carolina,2025,American Indian / Alaska Native,119,478
Madison,Western North Carolina,2025,White,5124,20459
Rutherford,Western North Carolina,2025,Other,641,3031
Burke,Western North Carolina,2025,Other,426,3994
Wilson,Eastern North Carolina,2025,Other,269,3040
Guilford,Central North Carolina,2025,Other,1151,24194
New Hanover,Eastern North Carolina,2025,Asian & Pacific Islander,827,4607
Person,Central North Carolina,2025,American Indian / Alaska Native,102,422
Pitt,Eastern North Carolina,2025,White,17803,97713
Caswell,Central North Carolina,2025,White,3693,14929
Catawba,Western North Carolina,2025,White,28299,135628
Hertford,Eastern North Carolina,2025,Black,1801,10081
Hertford,Eastern North Carolina,2025,White,1965,7280
Iredell,Western North Carolina,2025,American Indian / Alaska Native,219,1478
Stokes,Central North Carolina,2025,Other,522,2337
Brunswick,Eastern North Carolina,2025,American Indian / Alaska Native,502,1482
Wayne,Eastern North Carolina,2025,American Indian / Alaska Native,232,1584
Martin,Eastern North Carolina,2025,Black,2287,8190
Yadkin,Western North Carolina,2025,American Indian / Alaska Native,86,505
Yadkin,Western North Carolina,2025,Black,263,1437
Yancey,Western North Carolina,2025,Other,96,1119
Martin,Eastern North Carolina,2025,White,3221,11705
Orange,Central North Carolina,2025,White,22177,112592
Franklin,Central North Carolina,2025,Black,3285,18920
Johnston,Eastern North Carolina,2025,Other,769,12060
Mecklenburg,Central North Carolina,2025,Black,41154,362041
Lee,Central North Carolina,2025,Other,168,3285
Alleghany,Western North Carolina,2025,White,3226,10956
Iredell,Western North Carolina,2025,Asian & Pacific Islander,829,6302
New Hanover,Eastern North Carolina,2025,Other,1232,10494
Pender,Eastern North Carolina,2025,Black,1294,7967
Onslow,Eastern North Carolina,2025,Asian & Pacific Islander,844,6955
Warren,Central North Carolina,2025,American Indian / Alaska Native,243,1016
Washington,Eastern North Carolina,2025,White,1803,4968
Anson,Central North Carolina,2025,Black,1590,9816
Surry,Western North Carolina,2025,White,14391,65078
Polk,Western North Carolina,2025,White,6219,18012
Union,Central North Carolina,2025,Black,3934,32243
Wilkes,Western North Carolina,2025,White,14433,60166
Pamlico,Eastern North Carolina,2025,White,3495,10092
Pasquotank,Eastern North Carolina,2025,Black,2288,14610
Pender,Eastern North Carolina,2025,Other,464,3345
Haywood,Western North Carolina,2025,American Indian / Alaska Native,130,503
Alexander,Western North Carolina,2025,Other,229,1441
Caldwell,Western North Carolina,2025,Black,767,4269
Catawba,Western North Carolina,2025,Asian & Pacific Islander,968,8691
Burke,Western North Carolina,2025,Asian & Pacific Islander,204,3411
Randolph,Central North Carolina,2025,Black,1773,10449
Buncombe,Western North Carolina,2025,Black,2921,16704
Vance,Central North Carolina,2025,Black,3519,21166
Gaston,Western North Carolina,2025,Other,1229,12620
Caldwell,Western North Carolina,2025,White,16363,72950
Cleveland,Western North Carolina,2025,American Indian / Alaska Native,81,461
Currituck,Eastern North Carolina,2025,White,5761,28753
Montgomery,Central North Carolina,2025,Other,20,849
Harnett,Eastern North Carolina,2025,American Indian / Alaska Native,194,2049
Buncombe,Western North Carolina,2025,American Indian / Alaska Native,535,2556
Chatham,Central North Carolina,2025,White,19591,68564
Macon,Western North Carolina,2025,Black,51,405
Person,Central North Carolina,2025,Black,1950,9948
Moore,Central North Carolina,2025,White,24465,92622
Yancey,Western North Carolina,2025,White,5013,17467
Halifax,Eastern North Carolina,2025,American Indian / Alaska Native,344,1638
Pender,Eastern North Carolina,2025,White,12057,57627
Lee,Central North Carolina,2025,American Indian / Alaska Native,211,1303
Montgomery,Central North Carolina,2025,American Indian / Alaska Native,61,368
Catawba,Western North Carolina,2025,Other,1323,8806
